지 역,시군구,아파트 입주예정 물량(세대)
서울,강남구,22761
서울,강동구,28047
서울,강북구,4164
서울,강서구,11162
서울,관악구,5500
서울,광진구,5605
서울,구로구,7634
서울,금천구,7299
서울,노원구,5510
서울,도봉구,2018
서울,동대문구,15420
서울,동작구,6653
서울,마포구,7212
서울,서대문구,10858
서울,서초구,14802
서울,성동구,3097
서울,성북구,7548
서울,송파구,13627
서울,양천구,5766
서울,영등포구,17560
서울,용산구,3122
서울,은평구,15640
서울,종로구,3189
서울,중구,5699
서울,중랑구,7068
경기,고양시 덕양구,30933
경기,고양시 일산동구,10929
경기,고양시 일산서구,3248
경기,과천시,12784
경기,광명시,9145
경기,광주시,15864
경기,구리시,6029
경기,군포시,4620
경기,김포시,32725
경기,남양주시,28477
경기,동두천시,1943
경기,부천시,15513
경기,성남시 분당구,6916
경기,성남시 수정구,16444
경기,성남시 중원구,10385
경기,수원시 권선구,11661
경기,수원시 영통구,10394
경기,수원시 장안구,9931
경기,수원시 팔달구,14774
경기,시흥시,29220
경기,안산시 단원구,18510
경기,안산시 상록구,9909
경기,안성시,9539
경기,안양시 동안구,16330
경기,안양시 만안구,11780
경기,양주시,26908
경기,여주시,4338
경기,오산시,16907
경기,용인시 기흥구,7986
경기,용인시 수지구,9129
경기,용인시 처인구,16580
경기,의왕시,6909
경기,의정부시,20952
경기,이천시,8139
경기,파주시,32841
경기,평택시,50429
경기,포천시,3304
경기,하남시,29941
경기,화성시,59109
인천,서구,65831
인천,동구,19132
인천,남동구,5950
인천,연수구,35976
인천,부평구,31377
인천,계양구,8322
인천,미추홀구,30098
인천,중구,19132
