"연도","월","구분","주택","보증유형"," 건수 "," 금액(백만원) ","비율","",""
"2015","12","단독주택","단독주택","전세보증금반환보증","73","7983","0.43","",""
"2015","12","단독주택","다가구주택","전세보증금반환보증","76","8798","0.47","",""
"2015","12","단독주택","다세대주택","전세보증금반환보증","185","24670","1.33","",""
"2015","12","공동주택","연립주택","전세보증금반환보증","47","7476","0.40","",""
"2015","12","공동주택","오피스텔","전세보증금반환보증","108","12966","0.70","",""
"2015","12","공동주택","아파트","전세보증금반환보증","9787","1795309","96.67","",""
"2015","12","단독주택","단독주택","전세자금대출특약보증","40","3297","0.66","",""
"2015","12","단독주택","다가구주택","전세자금대출특약보증","43","3453","0.69","",""
"2015","12","단독주택","다세대주택","전세자금대출특약보증","74","6496","1.30","",""
"2015","12","공동주택","연립주택","전세자금대출특약보증","12","1040","0.21","",""
"2015","12","공동주택","오피스텔","전세자금대출특약보증","32","3463","0.69","",""
"2015","12","공동주택","아파트","전세자금대출특약보증","4267","482342","96.45","",""
"2016","03","단독주택","단독주택","전세보증금반환보증","35","4461","0.50","",""
"2016","03","단독주택","다가구주택","전세보증금반환보증","41","5821","0.66","",""
"2016","03","단독주택","다세대주택","전세보증금반환보증","78","10905","1.23","",""
"2016","03","공동주택","연립주택","전세보증금반환보증","17","2984","0.34","",""
"2016","03","공동주택","오피스텔","전세보증금반환보증","23","4032","0.46","",""
"2016","03","공동주택","아파트","전세보증금반환보증","3893","857485","96.82","",""
"2016","03","단독주택","단독주택","전세자금대출특약보증","32","2904","0.70","",""
"2016","03","단독주택","다가구주택","전세자금대출특약보증","31","3007","0.72","",""
"2016","03","단독주택","다세대주택","전세자금대출특약보증","62","6204","1.49","",""
"2016","03","공동주택","연립주택","전세자금대출특약보증","13","1758","0.42","",""
"2016","03","공동주택","오피스텔","전세자금대출특약보증","14","1790","0.43","",""
"2016","03","공동주택","아파트","전세자금대출특약보증","2895","401727","96.25","",""
"2016","06","단독주택","단독주택","전세보증금반환보증","60","8974","0.68","",""
"2016","06","단독주택","다가구주택","전세보증금반환보증","85","13940","1.06","",""
"2016","06","단독주택","다세대주택","전세보증금반환보증","222","31516","2.39","",""
"2016","06","공동주택","연립주택","전세보증금반환보증","54","7462","0.57","",""
"2016","06","공동주택","오피스텔","전세보증금반환보증","38","7261","0.55","",""
"2016","06","공동주택","아파트","전세보증금반환보증","5830","1249692","94.76","",""
"2016","06","단독주택","단독주택","전세자금대출특약보증","53","5865","0.76","",""
"2016","06","단독주택","다가구주택","전세자금대출특약보증","73","8455","1.09","",""
"2016","06","단독주택","다세대주택","전세자금대출특약보증","204","19517","2.52","",""
"2016","06","공동주택","연립주택","전세자금대출특약보증","50","5152","0.67","",""
"2016","06","공동주택","오피스텔","전세자금대출특약보증","34","5018","0.65","",""
"2016","06","공동주택","아파트","전세자금대출특약보증","5144","730016","94.31","",""
"2016","09","단독주택","단독주택","전세보증금반환보증","66","10783","0.75","",""
"2016","09","단독주택","다가구주택","전세보증금반환보증","122","20543","1.42","",""
"2016","09","단독주택","다세대주택","전세보증금반환보증","241","39172","2.71","",""
"2016","09","공동주택","연립주택","전세보증금반환보증","35","5810","0.40","",""
"2016","09","공동주택","오피스텔","전세보증금반환보증","40","5824","0.40","",""
"2016","09","공동주택","아파트","전세보증금반환보증","6386","1361455","94.31","",""
"2016","09","단독주택","단독주택","전세자금대출특약보증","63","7412","0.84","",""
"2016","09","단독주택","다가구주택","전세자금대출특약보증","114","13894","1.58","",""
"2016","09","단독주택","다세대주택","전세자금대출특약보증","220","25997","2.96","",""
"2016","09","공동주택","연립주택","전세자금대출특약보증","33","4142","0.47","",""
"2016","09","공동주택","오피스텔","전세자금대출특약보증","25","3202","0.36","",""
"2016","09","공동주택","아파트","전세자금대출특약보증","5735","823312","93.78","",""
"2016","12","단독주택","단독주택","전세보증금반환보증","64","10627","0.70","",""
"2016","12","단독주택","다가구주택","전세보증금반환보증","138","23556","1.55","",""
"2016","12","단독주택","다세대주택","전세보증금반환보증","226","39327","2.58","",""
"2016","12","공동주택","연립주택","전세보증금반환보증","39","6947","0.46","",""
"2016","12","공동주택","오피스텔","전세보증금반환보증","26","4141","0.27","",""
"2016","12","공동주택","아파트","전세보증금반환보증","6702","1438882","94.45","",""
"2016","12","단독주택","단독주택","전세자금대출특약보증","50","5732","0.70","",""
"2016","12","단독주택","다가구주택","전세자금대출특약보증","120","14706","1.79","",""
"2016","12","단독주택","다세대주택","전세자금대출특약보증","264","32842","4.01","",""
"2016","12","공동주택","연립주택","전세자금대출특약보증","45","5341","0.65","",""
"2016","12","공동주택","오피스텔","전세자금대출특약보증","20","2579","0.31","",""
"2016","12","공동주택","아파트","전세자금대출특약보증","4983","758792","92.54","",""
"2017","03","단독주택","단독주택","전세보증금반환보증","93","15504","0.84","",""
"2017","03","단독주택","다가구주택","전세보증금반환보증","225","36638","1.99","",""
"2017","03","단독주택","다세대주택","전세보증금반환보증","556","93879","5.09","",""
"2017","03","공동주택","연립주택","전세보증금반환보증","102","17817","0.97","",""
"2017","03","공동주택","오피스텔","전세보증금반환보증","162","29318","1.59","",""
"2017","03","공동주택","아파트","전세보증금반환보증","7272","1651067","89.53","",""
"2017","03","단독주택","단독주택","전세자금대출특약보증","87","10401","1.05","",""
"2017","03","단독주택","다가구주택","전세자금대출특약보증","207","24973","2.52","",""
"2017","03","단독주택","다세대주택","전세자금대출특약보증","488","58404","5.90","",""
"2017","03","공동주택","연립주택","전세자금대출특약보증","88","10624","1.07","",""
"2017","03","공동주택","오피스텔","전세자금대출특약보증","123","15533","1.57","",""
"2017","03","공동주택","아파트","전세자금대출특약보증","5904","869687","87.88","",""
"2017","06","단독주택","단독주택","전세보증금반환보증","194","32039","1.49","",""
"2017","06","단독주택","다가구주택","전세보증금반환보증","465","75683","3.52","",""
"2017","06","단독주택","다세대주택","전세보증금반환보증","1200","209060","9.72","",""
"2017","06","공동주택","연립주택","전세보증금반환보증","184","34547","1.61","",""
"2017","06","공동주택","오피스텔","전세보증금반환보증","435","82174","3.82","",""
"2017","06","공동주택","아파트","전세보증금반환보증","7728","1717945","79.85","",""
"2017","06","단독주택","단독주택","전세자금대출특약보증","184","21458","1.71","",""
"2017","06","단독주택","다가구주택","전세자금대출특약보증","440","52992","4.22","",""
"2017","06","단독주택","다세대주택","전세자금대출특약보증","1133","141109","11.24","",""
"2017","06","공동주택","연립주택","전세자금대출특약보증","173","22834","1.82","",""
"2017","06","공동주택","오피스텔","전세자금대출특약보증","367","49628","3.95","",""
"2017","06","공동주택","아파트","전세자금대출특약보증","6426","967185","77.05","",""
"2017","09","단독주택","단독주택","전세보증금반환보증","243","38870","1.50","",""
"2017","09","단독주택","다가구주택","전세보증금반환보증","540","87998","3.40","",""
"2017","09","단독주택","다세대주택","전세보증금반환보증","1649","300973","11.50","",""
"2017","09","공동주택","연립주택","전세보증금반환보증","225","44544","1.70","",""
"2017","09","공동주택","오피스텔","전세보증금반환보증","606","109046","4.20","",""
"2017","09","공동주택","아파트","전세보증금반환보증","8955","2036377","77.80","",""
"2017","09","단독주택","단독주택","전세자금대출특약보증","234","27493","1.60","",""
"2017","09","단독주택","다가구주택","전세자금대출특약보증","520","62761","3.70","",""
"2017","09","단독주택","다세대주택","전세자금대출특약보증","1586","210323","12.50","",""
