"지역별(1)",지역별(2),2018.01,2018.01,2018.01,2018.01,2018.01,2018.02,2018.02,2018.02,2018.02,2018.02,2018.03,2018.03,2018.03,2018.03,2018.03,2018.04,2018.04,2018.04,2018.04,2018.04,2018.05,2018.05,2018.05,2018.05,2018.05,2018.06,2018.06,2018.06,2018.06,2018.06,2018.07,2018.07,2018.07,2018.07,2018.07,2018.08,2018.08,2018.08,2018.08,2018.08,2018.09,2018.09,2018.09,2018.09,2018.09,2018.10,2018.10,2018.10,2018.10,2018.10,2018.11,2018.11,2018.11,2018.11,2018.11,2018.12,2018.12,2018.12,2018.12,2018.12,2019.01,2019.01,2019.01,2019.01,2019.01,2019.02,2019.02,2019.02,2019.02,2019.02,2019.03,2019.03,2019.03,2019.03,2019.03,2019.04,2019.04,2019.04,2019.04,2019.04,2019.05,2019.05,2019.05,2019.05,2019.05,2019.06,2019.06,2019.06,2019.06,2019.06,2019.07,2019.07,2019.07,2019.07,2019.07,2019.08,2019.08,2019.08,2019.08,2019.08,2019.09,2019.09,2019.09,2019.09,2019.09,2019.10,2019.10,2019.10,2019.10,2019.10,2019.11,2019.11,2019.11,2019.11,2019.11,2019.12,2019.12,2019.12,2019.12,2019.12,2020.01,2020.01,2020.01,2020.01,2020.01,2020.02,2020.02,2020.02,2020.02,2020.02,2020.03,2020.03,2020.03,2020.03,2020.03,2020.04,2020.04,2020.04,2020.04,2020.04,2020.05,2020.05,2020.05,2020.05,2020.05,2020.06,2020.06,2020.06,2020.06,2020.06,2020.07,2020.07,2020.07,2020.07,2020.07,2020.08,2020.08,2020.08,2020.08,2020.08,2020.09,2020.09,2020.09,2020.09,2020.09,2020.10,2020.10,2020.10,2020.10,2020.10,2020.11,2020.11,2020.11,2020.11,2020.11,2020.12,2020.12,2020.12,2020.12,2020.12,2021.01,2021.01,2021.01,2021.01,2021.01,2021.02,2021.02,2021.02,2021.02,2021.02,2021.03,2021.03,2021.03,2021.03,2021.03,2021.04,2021.04,2021.04,2021.04,2021.04,2021.05,2021.05,2021.05,2021.05,2021.05,2021.06,2021.06,2021.06,2021.06,2021.06,2021.07,2021.07,2021.07,2021.07,2021.07,2021.08,2021.08,2021.08,2021.08,2021.08,2021.09,2021.09,2021.09,2021.09,2021.09,2021.10,2021.10,2021.10,2021.10,2021.10,2021.11,2021.11,2021.11,2021.11,2021.11,2021.12,2021.12,2021.12,2021.12,2021.12,2022.01,2022.01,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.02,2022.02
"지역별(1)",지역별(2),전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과,전체,전용면적 60㎡이하,전용면적 60㎡초과 85㎡이하,전용면적 85㎡초과 102㎡이하,전용면적 102㎡초과
"전국",소계,3140,3285,3079,3420,3400,3156,3289,3116,3422,3407,3202,3324,3161,3487,3430,3220,3334,3181,3508,3371,3255,3342,3225,3554,3496,3227,3345,3218,3437,3364,3206,3221,3217,3523,3358,3201,3215,3213,3467,3332,3257,3194,3277,3329,3494,3285,3236,3309,3482,3584,3304,3281,3329,3483,3645,3376,3359,3416,3502,3715,3408,3373,3447,3528,3734,3413,3391,3453,3536,3757,3433,3382,3472,3529,3785,3452,3407,3486,3569,3933,3485,3461,3510,3615,4052,3538,3482,3567,4138,4144,3547,3489,3570,4213,4101,3563,3544,3581,4228,4152,3539,3562,3557,4256,4198,3605,3612,3619,4182,4182,3604,3559,3600,4333,4204,3589,3574,3587,4354,4191,3617,3617,3603,4484,4198,3591,3615,3586,4580,4177,3592,3648,3590,4549,4217,3645,3673,3648,4707,4355,3683,3680,3689,4646,4274,3736,3717,3755,4747,4290,3778,3780,3789,4370,4106,3807,3908,3807,4361,4316,3823,3936,3831,4361,4314,3803,3813,3828,4331,4311,3847,3868,3848,4384,4297,3875,3859,3880,4262,4348,3937,3890,3920,4184,4332,3987,3865,3963,4165,4413,4101,3878,4071,4144,4544,4103,3880,4043,4098,4500,4133,3895,4065,3980,4504,4153,3920,4086,3939,4518,4240,3965,4248,3901,4238,4245,3953,4231,3965,4240,4254,3898,4237,3968,4262,4179,3998,4186,4146,4214,4232,4042,4251,4189,4169,4279,4038,4314,4497,4290,4294,3999,4312,4590,4632,4336,4095,4345,4464,4635
"수도권",소계,4600,4798,4325,5102,5461,4616,4862,4513,5108,5466,4723,5065,4609,5163,5573,4719,5069,4614,5188,5557,4781,5066,4731,5338,5534,4664,5062,4734,5128,5618,4715,5130,4796,5161,5744,4715,5011,4805,4919,5584,4810,4824,4936,4388,5617,4985,4864,5143,5036,4970,5024,4929,5173,5134,5478,5041,5080,5250,5074,5641,5147,5100,5362,5080,5724,5158,5184,5379,5117,5703,5275,5122,5491,5079,5715,5292,5165,5522,5091,5941,5339,5433,5516,5222,6103,5506,5571,5686,7255,6303,5414,5492,5569,7255,6256,5459,5562,5614,7262,6475,5489,5602,5655,7262,6510,5486,5657,5628,7298,6460,5479,5664,5521,7306,6354,5483,5679,5517,7383,6312,5543,5751,5514,7391,6250,5520,5702,5540,7745,6377,5588,5828,5610,7739,6384,5605,5794,5622,7839,6515,5587,5656,5643,6785,6265,5637,5716,5748,7328,6318,5628,5621,5639,6507,5887,5658,5631,5662,6524,5893,5676,5647,5673,6524,5929,5715,5656,5683,6534,6122,5781,5730,5750,6505,6278,5901,5817,5653,6492,6593,5887,5819,5639,6308,6506,5889,5813,5653,6102,6883,5904,5848,5654,6102,6858,5864,5824,5587,6035,6640,5836,5818,5517,6064,6560,5841,5864,5499,5374,6535,5954,6042,6042,5361,5272,5994,6045,5981,5361,5208,6015,6078,6002,5384,5253,6060,6244,6262,5299,5105,6295,6487,6557,5401,4962,6331,6490,6601,5482,5181,6258,6300,6505,5840,6472,6398,6575,6532,5822,6397
"수도권",서울,6623,6898,5857,7478,6916,6631,6907,6373,7495,6909,6836,7193,6553,7823,7242,6841,7196,6560,7823,7242,6919,7318,6630,8098,7252,6694,7232,6739,7591,6905,6820,7360,6910,7591,6914,6731,7117,6806,6652,6477,6994,6631,7183,5061,6538,7378,6806,7629,6842,7373,7369,7017,7620,6842,7351,7398,7398,7890,6842,7545,7600,7400,8105,6842,7787,7627,7654,8141,6842,7328,7772,7750,8191,6842,7206,7784,7894,8272,6842,7683,7786,8104,8336,6842,7831,8100,8281,8588,12728,8430,8067,8231,8506,12728,8430,8093,8223,8562,12728,8866,8085,8205,8572,12728,8972,8091,8230,8574,12728,8903,8062,8196,8300,12728,8952,7955,8115,8171,12728,8989,8121,8330,8135,12728,8779,7972,8193,8140,13835,9039,8029,8533,8160,13835,9035,7990,8415,8101,13835,9392,8191,8432,8316,11018,9406,8351,8572,8576,12587,9407,8110,8274,8049,9938,8705,8098,8258,8044,9938,8705,8114,8291,8035,9938,8703,8079,8247,8013,9938,8677,8234,8436,8182,9938,8677,8566,8691,7892,9769,9481,8566,8691,7892,9769,9481,8540,8657,7869,8942,9481,8573,8678,7868,8942,9481,8526,8654,7718,8942,9733,8666,8776,7739,9127,9116,8831,8950,7854,7020,9064,9211,9481,9519,6975,-,9499,9724,9519,6975,-,9501,9724,9518,7044,-,9662,10181,10252,7044,-,9952,10553,10691,7044,-,9983,10553,10746,7274,-,9582,9963,10260,7274,8913,9817,10322,10217,7229,8913
"수도권",인천,3333,3376,3324,3478,4835,3342,3433,3338,3478,4835,3457,3754,3448,3395,4835,3457,3754,3448,3395,4835,3436,3454,3567,3470,4835,3372,3454,3537,3229,-,3372,3454,3537,3229,-,3343,3456,3505,3229,-,3343,3456,3505,3229,-,3440,3422,3630,3391,2890,3553,3437,3725,3492,4455,3548,3403,3731,3492,4455,3583,3461,3766,3492,4455,3590,3455,3779,3492,4835,3682,3415,3907,3773,4808,3682,3415,3907,3773,4808,3881,3729,3923,3773,4808,3887,3822,3919,3773,4808,3887,3822,3919,3773,4808,3941,3782,3966,3773,5188,3941,3782,3966,3773,5188,3947,3866,3956,3881,5185,3922,3911,3922,3904,4768,4002,3993,3989,3981,4768,4005,3985,4001,3981,4768,4084,3994,4079,3981,4958,4260,4057,4293,3936,4972,4263,4062,4296,3936,4972,4345,4211,4408,4882,5008,4443,4316,4576,4915,5012,4435,4309,4553,4902,4615,4642,4526,4617,4902,4692,4642,4526,4617,4902,4692,4720,4594,4669,4914,4818,4769,4626,4712,4999,4885,4752,4710,4664,5097,4918,4728,4710,4647,4617,4918,4743,4710,4709,4869,6053,4763,4800,4719,4869,6053,4712,4710,4687,4869,5204,4603,4626,4566,4823,5321,4510,4572,4470,4823,5308,4503,4629,4463,4830,5312,4315,4387,4283,4824,5312,4315,4387,4283,4824,5312,4316,4399,4280,4824,5317,4456,4399,4450,5010,5385,4551,4363,4526,5204,5635,4626,4363,4609,6224,5627,4612,4544,4591,6167,5584
"수도권",경기,3846,4119,3793,4350,4632,3876,4246,3826,4351,4655,3876,4248,3826,4270,4641,3859,4256,3836,4345,4595,3987,4425,3994,4445,4517,3927,4501,3926,4565,4330,3952,4578,3943,4662,4573,4070,4459,4105,4877,4692,4094,4384,4122,4874,4696,4136,4365,4169,4874,4647,4151,4331,4175,5068,4627,4175,4439,4130,4888,4925,4258,4440,4216,4905,4931,4256,4444,4216,5018,4945,4369,4200,4376,4621,5130,4411,4185,4385,4657,5332,4351,4465,4288,5051,5670,4531,4611,4551,5264,5669,4287,4422,4281,5264,5529,4343,4682,4314,5284,5371,4441,4818,4428,5284,5371,4421,4876,4353,5284,5292,4453,4885,4341,5284,5342,4493,4931,4390,5438,5180,4503,4939,4404,5464,5204,4502,4918,4402,5418,5133,4476,4893,4376,5447,5145,4563,4904,4470,5745,5180,4225,4326,4205,4455,4381,4117,4258,4094,4481,4536,4340,4279,4315,4682,4342,4234,4108,4326,4732,4282,4272,4124,4366,4732,4393,4346,4127,4366,4751,4872,4339,4129,4356,4577,5272,4386,4051,4403,4610,5380,4368,4056,4379,4539,5118,4382,4071,4381,4495,5114,4376,4068,4375,4496,5040,4353,4109,4356,4294,4985,4237,4051,4246,4244,5244,4181,4070,4174,4278,5234,4148,4017,4145,4278,5233,4166,4024,4143,4283,5104,4227,4125,4205,4283,5194,4203,4152,4253,4028,4893,4477,4509,4530,4147,4539,4458,4553,4532,3968,4726,4567,4573,4646,4021,4876,4765,4859,4787,4071,4694
"5대광역시 및 세종특별자치시",소계,3231,3165,3226,3286,3376,3221,3135,3214,3286,3376,3227,3112,3223,3286,3366,3258,3120,3258,3227,3096,3281,3135,3280,3231,3492,3297,3149,3299,3231,3466,3299,3159,3301,3573,3376,3307,3174,3304,3573,3374,3400,3191,3398,3764,3777,3378,3286,3374,3728,4167,3409,3283,3407,3634,4085,3594,3490,3592,3640,4045,3621,3507,3617,3747,4057,3622,3507,3618,3747,4057,3604,3526,3599,3747,3976,3659,3691,3640,4033,4217,3719,3685,3698,4073,4475,3720,3616,3701,3987,4368,3771,3672,3750,3984,4395,3762,3812,3731,4035,4406,3621,3644,3592,4127,4405,3741,3759,3714,4120,4371,3739,3753,3715,4100,4431,3721,3777,3700,4108,4439,3730,3779,3710,3993,4436,3737,3784,3716,3990,4436,3716,3788,3704,3990,4420,3766,3785,3767,4230,4581,3832,3839,3832,4618,4434,3919,3910,3924,4545,4442,3958,3944,3967,4538,4512,3962,3959,3965,4482,4483,3966,3956,3972,4483,4494,3863,3955,3948,4436,4265,3892,4015,3980,4436,4256,3904,3950,4088,4440,4239,4000,3966,4090,4262,4249,4095,3972,4136,4274,4281,4112,3982,4136,4265,4311,4152,3987,4117,4115,4320,4213,4156,4183,3875,4337,4225,4170,4201,3880,4431,4223,4248,4190,3900,4453,4202,4253,4169,3900,4432,4212,4095,4168,3900,4447,4221,4178,4179,3900,4453,4265,4214,4221,4066,4566,4369,4314,4369,4790,4800,4407,4267,4374,4793,4793,4440,4284,4408,4796,4852
"5대광역시 및 세종특별자치시",부산,3842,3737,3803,3692,3869,3850,3744,3812,3692,3869,3817,3654,3789,3692,3830,3863,3654,3835,3692,3830,3853,3704,3822,3705,3840,3884,3737,3873,3705,3844,3950,3734,3933,4004,3875,3972,3809,3946,4004,3783,4090,3863,4073,4456,4173,4036,3846,4018,4349,4434,4040,3778,4036,4066,4293,4068,3778,4064,4066,4293,4068,3778,4064,4066,4293,4068,3778,4064,4066,4293,4068,3857,4059,4066,4344,3927,3857,3917,4066,4344,3924,3789,3920,4583,4623,3906,3826,3909,4323,4571,3872,3788,3872,4323,4558,3931,3971,3924,4474,4596,4023,3921,4019,4420,4552,4040,3860,4056,4401,4433,3985,3749,4010,4401,4322,3884,3711,3907,4401,4322,3884,3711,3907,4401,4322,3924,3760,3941,4401,4322,3950,3789,3965,4401,4322,3908,3814,3921,4401,4322,4022,3976,4047,4372,4218,4022,3975,4042,4154,4131,4081,3955,4112,4107,4135,4020,3883,4054,3940,4020,4020,3891,4051,3940,4020,3974,3967,3966,3799,3887,4112,4118,4100,3799,3947,4256,4293,4221,3842,3947,4254,4293,4218,3842,3947,4292,4333,4272,3842,3947,4292,4333,4272,3842,3947,4372,4390,4356,3842,3947,4418,4416,4404,3823,4078,4406,4380,4400,3945,4518,4392,4233,4376,3971,4518,4358,4202,4327,3971,4518,4358,4202,4327,3971,4518,4420,4506,4415,3971,4379,4614,4724,4606,3971,4379,5081,4927,5112,5926,5427,5135,4927,5168,5926,5427,5188,5006,5224,5926,5427
"5대광역시 및 세종특별자치시",대구,3585,3521,3587,-,3543,3364,3521,3365,-,3543,3392,3521,3404,-,3543,3524,3607,3526,3012,2966,3651,3634,3646,3012,4539,3669,3669,3665,3012,4430,3712,3722,3716,3577,4040,3726,3724,3723,3577,4040,3740,3756,3746,3698,3961,3799,3756,3803,3698,4138,3825,3808,3826,3698,3949,3925,3909,3918,3698,4019,3983,3977,3967,4019,4067,3988,3977,3971,4019,4067,3975,3977,3956,4019,4067,4015,3989,4001,4522,4087,4115,4038,4088,4127,4434,4166,4080,4144,4127,4458,4297,4191,4269,4120,4824,4315,4283,4291,4120,4840,4358,4354,4334,4450,4881,4405,4354,4385,4450,4830,4382,4364,4369,4389,5158,4372,4314,4367,4414,5130,4420,4324,4417,4067,5117,4420,4300,4418,4060,5117,4498,4291,4497,4060,5117,4576,4410,4575,4060,5112,4647,4425,4644,4871,4860,4598,4413,4593,4871,4827,4640,4559,4640,4896,4814,4634,4593,4629,4896,4813,4644,4593,4639,4899,4810,4668,4608,4661,4899,4869,4684,4623,4675,4898,4875,4644,4634,4654,4867,4877,4653,4636,4664,4867,4877,4645,4634,4657,4915,4788,4688,4633,4702,4877,4937,4708,4500,4719,4877,4980,4703,4547,4714,4434,4995,4696,4588,4713,4330,4977,4687,4670,4702,4257,4944,4708,4644,4720,4257,4944,4750,4644,4771,4257,5010,4722,4509,4745,4257,5023,4764,4509,4783,4921,5158,4851,4568,4863,4951,5144,4843,4563,4854,4951,5131,4969,4563,4979,4962,5346
